institution_id,institution_name,country,branch_of_government,level_of_government,has_genai_activity,n_total_rows,n_runs_covered,runs,n_activity_source_rows,activities_found,tools_found,best_summary
EXT-existing-gpt-con-5fcd8ff7dc,Tribunal de Contas da União (TCU),Brazil,judicial,national,yes,2,1,existing_gpt_convenience_v1,2,ChatTCU – Tribunal de Contas da União (TCU); LabContas Assist – TCU (LabContas),,Tribunal de Contas da União (TCU) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-604c731b5f,Nepal Police Headquarters,Nepal,unknown,national,yes,1,1,existing_gpt_convenience_v1,1,Nepal Police – Smart chatbot integrated with ChatGPT (EOI/tender),ChatGPT,Nepal Police Headquarters has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-60a7a87ab0,Department of Finance (Australian Government),Australia,executive,national,yes,1,1,existing_gpt_convenience_v1,1,GovAI platform (Build with GovAI),Claude,Department of Finance (Australian Government) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-64d1edf918,UAE Ministry of Justice,United Arab Emirates,judicial,national,yes,1,1,existing_gpt_convenience_v1,1,UAE Ministry of Justice ‘Aisha’ generative AI legal assistant,,UAE Ministry of Justice has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-66fb16b6a7,Sistema de Información de la Administración Pública (SIAP) / sistema de reparto,Dominican Republic,executive,national,yes,1,1,existing_gpt_convenience_v1,1,RITA (SIAP / Sistema de Reparto),,Sistema de Información de la Administración Pública (SIAP) / sistema de reparto has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-6e3232f584,Department of the Prime Minister and Cabinet (DPMC) — Honours Unit,New Zealand,executive,national,yes,1,1,existing_gpt_convenience_v1,1,New Zealand Royal Honours system — Honours Unit generative AI summarisation,,Department of the Prime Minister and Cabinet (DPMC) — Honours Unit has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-6eb6b03bc8,Shared Services Canada (SSC),Canada,executive,national,yes,2,1,existing_gpt_convenience_v1,2,CANChat (Shared Services Canada); TurboSA (Shared Services Canada),,Shared Services Canada (SSC) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-705ca2fd66,Dirección General de Inversión Pública / plataforma de transparencia fiscal,Dominican Republic,executive,national,yes,1,1,existing_gpt_convenience_v1,1,MapaBot (MapaInversiones RD),OpenAI,Dirección General de Inversión Pública / plataforma de transparencia fiscal has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-71715bf980,Ministère de la Fonction Publique et de la Modernisation de l’Administration (Côte d’Ivoire) / MAFOP (mutual),Côte d’Ivoire,executive,national,yes,1,1,existing_gpt_convenience_v1,1,"Civil service mutualists training on AI tools (ChatGPT, MerciApp, Evernote AI) (Côte d’Ivoire)",ChatGPT,Ministère de la Fonction Publique et de la Modernisation de l’Administration (Côte d’Ivoire) / MAFOP (mutual) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-71bdf53b06,KSA Visa platform / Saudi government (visa services),Saudi Arabia,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Saudi KSA Visa platform states service relies on generative AI,,KSA Visa platform / Saudi government (visa services) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-7412b8aa5c,Namibia Revenue Agency (NamRA),Namibia,executive,national,yes,1,1,existing_gpt_convenience_v1,1,NamRA Interaction & Feedback Systems (ChatGPT-based guidance),ChatGPT,Namibia Revenue Agency (NamRA) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-772cb27319,Gobierno de la Ciudad de México,Mexico,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,Llave CDMX Expediente (Gobierno de la Ciudad de México),,Gobierno de la Ciudad de México has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-816b7bcbf3,Office of the President,Guyana,executive,national,yes,1,1,existing_gpt_convenience_v1,1,AskGov (Generative AI) – Office of the President of Guyana,,Office of the President has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-89db8cf050,Government Technology Agency (GovTech Singapore),Singapore,executive,national,yes,1,1,existing_gpt_convenience_v1,1,PAIR (GovTech Singapore),,Government Technology Agency (GovTech Singapore) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-8cdbf67573,Dirección Nacional de Contrataciones Públicas (DNCP),Paraguay,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Chat de DNCP para pliegos de licitaciones (referencia a ChatGPT) – Paraguay,ChatGPT,Dirección Nacional de Contrataciones Públicas (DNCP) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-8d9375a8e7,Financial Services Agency (金融庁),Japan,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Japan Financial Services Agency (FSA) generative AI assistant in Slack for daily work,,Financial Services Agency (金融庁) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-8e9d40d256,Changshu City Data Bureau (常熟市数据局),China,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,Changshu City Data Bureau: DeepSeek-R170B-based ‘government intelligent assistant’ in WeChat mini-program,DeepSeek,Changshu City Data Bureau (常熟市数据局) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-8ece0ad28d,National Water Commission (NWC),Jamaica,executive,subnational,yes,1,1,existing_gpt_convenience_v1,1,Jamaica — National Water Commission (NWC) procurement incl. Microsoft 365 Copilot,Microsoft 365 Copilot,National Water Commission (NWC) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-8f6fa5b96a,Digital Transformation Agency (Australian Government),Australia,executive,national,yes,1,1,existing_gpt_convenience_v1,1,APS Microsoft 365 Copilot trial,Microsoft 365 Copilot,Digital Transformation Agency (Australian Government) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-91d18ed5b3,Ministry of Law (Singapore),Singapore,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Copilot for SG Law Firms module (MinLaw Legal Technology Platform),Microsoft 365 Copilot,Ministry of Law (Singapore) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-948daaed6a,Jabatan Digital Negara (JDN) / Kementerian Digital,Malaysia,executive,national,yes,1,1,existing_gpt_convenience_v1,1,AI@JDN (Asisten AI Jabatan Digital Negara) chatbot,,Jabatan Digital Negara (JDN) / Kementerian Digital has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-95fcefe483,Department of Consumer Affairs (Government of India),India,executive,national,yes,1,1,existing_gpt_convenience_v1,1,National Consumer Helpline (NCH) 2.0 – Generative AI & multilingual chatbot stack,,Department of Consumer Affairs (Government of India) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-96acdb1574,Superintendencia de Bancos de Panamá (SBP),Panama,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Panamá — Superintendencia de Bancos (SBP) Microsoft 365 Copilot workshop,Microsoft 365 Copilot,Superintendencia de Bancos de Panamá (SBP) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-9db5dbdf2f,Department of Community Development (CDD) Ministry of Interior,Thailand,executive,national,yes,1,1,existing_gpt_convenience_v1,1,ChatGPT-enabled features in CDD AI platform (Department of Community Development Thailand),ChatGPT,Department of Community Development (CDD) Ministry of Interior has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-9f8c281712,Federal Board of Revenue (FBR),Pakistan,executive,national,yes,1,1,existing_gpt_convenience_v1,1,FBR generative AI-powered taxpayer chatbot (beta),,Federal Board of Revenue (FBR) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-9ffb360d31,Ministry of the Interior and Safety (행정안전부),South Korea,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Republic of Korea: MOIS government-only generative AI administrative support pilot,,Ministry of the Interior and Safety (행정안전부) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-a22ccc5038,Banco do Brasil,Brazil,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,Assistente interno de IA generativa – Banco do Brasil,ChatGPT,Banco do Brasil has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-a2951a5a9c,Kagawa Prefecture (香川県),Japan,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,Kagawa Prefecture generative AI introduction for prefectural government work,ChatGPT,Kagawa Prefecture (香川県) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-a31d378d6b,Kobe City (神戸市),Japan,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,Kobe City full-scale generative AI use for staff (Microsoft Copilot) and prior trial,Copilot,Kobe City (神戸市) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-a7759cc695,Government e-Marketplace (GeM),India,executive,national,yes,1,1,existing_gpt_convenience_v1,1,GeMAI (GeM Generative AI chatbot),,Government e-Marketplace (GeM) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-ad9a1d5b21,Dubai Electricity and Water Authority (DEWA),United Arab Emirates,executive,subnational,yes,2,1,existing_gpt_convenience_v1,2,DEWA Rammas chatbot integrates Azure OpenAI; DEWA deploys Copilot for Microsoft 365 (internal productivity),Copilot; OpenAI,Dubai Electricity and Water Authority (DEWA) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-ae6ef88341,Rwanda Biomedical Center; Ministry of Health; Ministry of ICT and Innovation (Rwanda),Rwanda,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Mbaza RBC (LLM-powered chatbot for community health workers),OpenAI,Rwanda Biomedical Center; Ministry of Health; Ministry of ICT and Innovation (Rwanda) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-afa3899db0,Ministerio de Relaciones Exteriores y Movilidad Humana,Ecuador,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Asistente Virtual SAMI (ChatGPT nano) – Cancillería de Ecuador,ChatGPT,Ministerio de Relaciones Exteriores y Movilidad Humana has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-b36bebc852,Instituto Distrital de Turismo (IDT) – Bogotá,Colombia,executive,subnational,yes,1,1,existing_gpt_convenience_v1,1,Candelaria (GenAI) – Instituto Distrital de Turismo de Bogotá,,Instituto Distrital de Turismo (IDT) – Bogotá has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-bcf4d7f689,National Research and Innovation Agency (BRIN),Indonesia,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Chatbot LISA for hemodialysis education (BRIN),,National Research and Innovation Agency (BRIN) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-bd8899a8e2,Hukoomi (Qatar e-Government portal) / Government of Qatar,Qatar,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Qatar e-government portal Hukoomi implements OpenAI GPT capabilities,OpenAI,Hukoomi (Qatar e-Government portal) / Government of Qatar has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-c073fae612,Agency for Business Registration (Ministry of Planning and Investment),Vietnam,executive,national,yes,1,1,existing_gpt_convenience_v1,1,GenAI virtual assistant for National Business Registration Portal (Vietnam),,Agency for Business Registration (Ministry of Planning and Investment) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-c51f700386,Ministry of Posts and Telecommunications (MPTC) Cambodia,Cambodia,executive,national,yes,1,1,existing_gpt_convenience_v1,1,MPTC (Cambodia) digital committee uses ChatGPT for daily work,ChatGPT,Ministry of Posts and Telecommunications (MPTC) Cambodia has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-c6b54eb623,Province of British Columbia (BC Public Service),Canada,executive,subnational,yes,1,1,existing_gpt_convenience_v1,1,Copilot Chat access for BC Public Service employees (Province of British Columbia),Copilot,Province of British Columbia (BC Public Service) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-c728c613bd,Ministry of Transport,Oman,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Oman pilot: Generative AI–Powered Chatbot via WhatsApp,,Ministry of Transport has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-c8771ec155,Ministry of Digital Affairs (數位發展部,Taiwan,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Taiwan MODA “TryAI” Government AI Application Platform (AI Bots marketplace for agencies),,Ministry of Digital Affairs (數位發展部 has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-c9ed0015d2,Fukuoka City (福岡市),Japan,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,Fukuoka City PoC: Generative AI to improve staff productivity,,Fukuoka City (福岡市) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-cc408da60e,King Mongkut's Institute of Technology Ladkrabang (KMITL),Thailand,unknown,national,yes,1,1,existing_gpt_convenience_v1,1,Knowva guidance counselor chatbot (KMITL Thailand),,King Mongkut's Institute of Technology Ladkrabang (KMITL) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-ce7b6f52fb,Barbados Agricultural Development and Marketing Corporation (BADMC),Barbados,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,BADMC (Barbados) — Generative AI Agronomic Advisor,,Barbados Agricultural Development and Marketing Corporation (BADMC) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-d01d4535d9,Designated Areas for Sustainable Tourism Administration (DASTA),Thailand,unknown,national,yes,1,1,existing_gpt_convenience_v1,1,Microsoft 365 Copilot deployment (DASTA Thailand),Microsoft 365 Copilot,Designated Areas for Sustainable Tourism Administration (DASTA) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-d06ea184f7,Gyeonggi Province (경기도),South Korea,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,Gyeonggi Province “Generative AI Platform” for administrative documents and decision support,,Gyeonggi Province (경기도) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-d149fb87f6,Israel Defense Forces (IDF) / Unit 8200,Israel,unknown,national,yes,1,1,existing_gpt_convenience_v1,1,Israel: Unit 8200 building ChatGPT-like LLM tool for intelligence analysis,ChatGPT,Israel Defense Forces (IDF) / Unit 8200 has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-d51fc3d32f,Abu Dhabi Government (TAMM platform; Department of Government Enablement / relevant entities),United Arab Emirates,executive,subnational,yes,1,1,existing_gpt_convenience_v1,1,Abu Dhabi TAMM government services platform uses Azure OpenAI Service,OpenAI,Abu Dhabi Government (TAMM platform; Department of Government Enablement / relevant entities) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-d98c2feeb0,E-Government National Centre (EGNC) Brunei,Brunei,unknown,national,yes,1,1,existing_gpt_convenience_v1,1,E-Government National Centre pilot: in-house GenAI tools + proposed AI chatbot (Brunei),,E-Government National Centre (EGNC) Brunei has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-da01bd883f,Digital Agency (デジタル庁),Japan,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Digital Agency (Japan) staff use of generative AI environment (“Gennai”),,Digital Agency (デジタル庁) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-dc523ebb53,National Institute of Labour Studies (NILS),Sri Lanka,unknown,national,yes,1,1,existing_gpt_convenience_v1,1,NILS WhatsApp chatbot powered by ChatGPT,ChatGPT,National Institute of Labour Studies (NILS) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-e8911820b7,Inland Revenue Authority of Singapore (IRAS),Singapore,executive,national,yes,1,1,existing_gpt_convenience_v1,1,IRAS Virtual Intelligence Chat Assistant (VICA) upgrade (IRAS x GovTech),ChatGPT,Inland Revenue Authority of Singapore (IRAS) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-e91f69c4c9,Department of Agrarian Reform (DAR),Philippines,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Copilot for Microsoft 365 subscription (Department of Agrarian Reform),Microsoft 365 Copilot,Department of Agrarian Reform (DAR) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-e97a996d7f,Alcaldía/Municipio de Fusagasugá,Colombia,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,MIA Fusagasugá – asistente tributario municipal (IA generativa),,Alcaldía/Municipio de Fusagasugá has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-f45dd352c0,National Institute of Information and Communication Technologies (INTIC),Mozambique,unknown,national,yes,1,1,existing_gpt_convenience_v1,1,"MozGPT (tourism information chatbot, Mozambique)",ChatGPT,National Institute of Information and Communication Technologies (INTIC) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-f4705df60f,Seoul Metropolitan Government (서울특별시),South Korea,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,Seoul Metropolitan Government “Chatbot 2.0”: internal LLM for civil servants and GenAI pilot for Seoul Talk,,Seoul Metropolitan Government (서울특별시) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-f52be5d96d,Canadian Heritage (PCH) / Shared Services Canada (SSC),Canada,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Ministerial correspondence process refinement (Canadian Heritage + SSC),,Canadian Heritage (PCH) / Shared Services Canada (SSC) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-f61e8fb80b,Ministry of Communications and Information Technology (MCIT),Qatar,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Qatar MCIT and Microsoft launch OpenAI GPT on Azure Qatar Cloud for government entities,OpenAI,Ministry of Communications and Information Technology (MCIT) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-f831ad93e6,Department of Finance Canada (FIN) / Shared Services Canada (SSC),Canada,executive,national,yes,1,1,existing_gpt_convenience_v1,1,US tariffs public consultation automation tool (Department of Finance + SSC),,Department of Finance Canada (FIN) / Shared Services Canada (SSC) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-f8bf501174,Poder Judicial del Perú (Corte Superior de Justicia de Huánuco / PJ),Peru,judicial,subnational,yes,1,1,existing_gpt_convenience_v1,1,CURIA – asistente virtual con IA generativa (Poder Judicial del Perú),,Poder Judicial del Perú (Corte Superior de Justicia de Huánuco / PJ) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-f98918ddbd,Secretaría General / Alcaldía Mayor de Bogotá (ecosistema Chatico),Colombia,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,Chatico (GenAI) – Alcaldía Mayor de Bogotá,,Secretaría General / Alcaldía Mayor de Bogotá (ecosistema Chatico) has a legacy database record documenting generative AI activity.
